Name	HMDB
3_4_DHPA	HMDB0000423	
3_4_dihydroxyphenylalanine_methyl_ester	HMDB0001866
3MT	HMDB0000022
3OMD	HMDB0001434
4_Hydroxybenzaldehyde	HMDB0011718
5_6_Dihydroxyindole	HMDB0004058
5HIAA	HMDB0000763
Acetyl-histamine	HMDB0013253
Adenine	HMDB0000034
Adenosine	HMDB0000050
Alanine	HMDB0000161
Alpha-Tocopherol	HMDB0001893
Arginine	HMDB0000517
Aspartate	HMDB0000191
Benserazide	HMDB0248960
Carbidopa	HMDB0014336
Carnosine	HMDB0000033
Creatine	HMDB0000064
Cysteine	HMDB0000574
Dimethoxyphenethylamine	HMDB0041806
DOPAC	HMDB0001336
Dopamine	HMDB0000073
DOPEG	HMDB0000318
Epinephrine	HMDB0000068
FMP10	HMDBM000001
GABA	HMDB0000112
GABA-H2O	HMDB0000112
Glutamate	HMDB0000148
Glutamine	HMDB0000641
Glycine	HMDB0000123
Histamine	HMDB0000870
Histidine	HMDB0000177
Hordenine	HMDB0004366
HVA	HMDB0000118
Hypoxanthine	HMDB0000157
IsoLeucine	HMDB0000172
Kynurenine	HMDB0000684
LDOPA	HMDB0000181
Leucine	HMDB0000687
Leukoaminochrome	HMDB0012992
Lysine	HMDB0000182
Methionine	HMDB0000696
Methylephedrine	HMDB0041932
Methyltyrosine	HMDB0014903
Norepinephrine	HMDB0000216
Normetanephrine	HMDB0000819
Norsalsolinol	HMDB0006044
Octopamine	HMDB0004825
Phenylalanine	HMDB0000159
Proline	HMDB0000162
Putrescine	HMDB0001414
SAH	HMDB0000939
Salsolinol	HMDB0042012
SAM	HMDB0001185
Serine	HMDB0000187
Serotonin	HMDB0000259
Spermidine	HMDB0001257
Spermine	HMDB0001256
Taurine	HMDB0000251
Threonine	HMDB0000167
Tryptamine	HMDB0000303
Tryptophan	HMDB0000929
Tyrosine	HMDB0000158
Tyramine	HMDB0000306
Valine	HMDB0000883
Vanillactic_acid	HMDB0000913
VMA	HMDB0000291